99500A;0002393778;5;000000000000000100;0;00;0;202404;1;0;0.0;0.0;0.0;Gastos Administrativos;0;0.0;  ;0;0
99500A;0002393778;5;000000000000002946;0;04;0;202404;1;0;0.0;0.01;0.0;VOLANTE SE BUSCA REVENDEDORA C06;0;0.0;  ;0;ZFOL
99500A;0002393778;5;000000000000500607;0;04;0;202404;5;0;0.0;0.01;0.01;INS. BIENVENIDA ANUAL 2024;0;0.0;  ;0;ZFOL
99500A;0002393778;5;000000000000000255;0;04;0;202404;5;0;0.0;0.01;0.01;FOLLETO CAMP. 06;0;0.0;  ;0;ZFOL
99500A;0002393778;5;000000000000088734;1;04;0;202404;1;0;0.0;0.01;0.0;DEMOSTRAD.GRATIS P/ LIDERES C 4;0;0.0;  ;0;ZPRE
99500A;0002393778;5;000000000000500606;8;04;0;202404;1;0;0.0;0.01;0.0;INSERT CIRC BRILLANTE ANUAL 2024;0;0.0;  ;0;ZFOL
99500A;0002393778;5;000000000000000255;0;04;0;202404;1;0;0.0;0.01;0.0;FOLLETO CAMP. 06;0;0.0;  ;0;ZFOL
99500A;0002436239;5;000000000000500606;8;04;0;202404;1;0;0.0;0.01;0.0;INSERT CIRC BRILLANTE ANUAL 2024;0;0.0;  ;0;ZFOL
99500A;0002436239;5;000000000000401411;9;05;0;202404;2;0;1710.4;9999.99;2827.11;LLAVE T X 21 PCS ROJA;0;0.0;  ;10;ZHOG
99500A;0002436239;5;000000000000900460;1;04;0;202404;1;0;0.0;0.01;0.0;PR. PAGO EN CONFERENCIA Nº1 (00);0;0.0;  ;0;ZPRE
99500A;0002436239;5;000000000000000255;0;04;0;202404;1;0;0.0;0.01;0.0;FOLLETO CAMP. 06;0;0.0;  ;0;ZFOL
99500A;0002436239;5;000000000000000100;0;00;0;202404;1;0;50.63;532.8;83.68;Gastos Administrativos;0;0.0;  ;0;0
99500A;0002107929;3;000000000000404523;7;05;0;202404;1;0;76.97;899.99;127.22;REGLA FLEXIBLE GREEN 30 CM;0;0.0;  ;10;ZHOG
99500A;0002107929;3;000000000000405779;0;05;0;202404;1;0;299.32;3499.99;494.74;JARRITO DE VIDRIO C/TAPA Y SOR VER Y BLA;0;0.0;  ;10;ZHOG
99500A;0002107929;3;000000000000000255;0;04;0;202404;1;0;0.0;0.01;0.0;FOLLETO CAMP. 06;0;0.0;  ;0;ZFOL
