12303B;0000809784;4;000000000000301295;                1;05;0;202317;                1;0;           142.53;         1999.99;        235.59;ANILLO TIRES SILVER MED (I);0;0;  ;             25;ZBIJ
12303B;0000809784;4;000000000000405921;                8;05;0;202317;                1;0;           192.42;         2699.99;        318.05;HERMETICO MANDALA AREIA ROSA 2000 ML;0;0;  ;             25;ZHOG
12303B;0000809784;4;000000000000100045;                3;01;0;202317;                1;0;           102.62;         1799.99;        169.63;DEO COLONIA MASC. HOMME SPORT 120 ML;0;0;  ;             40;ZCOS
12303B;0000809784;4;000000000000100628;                3;01;0;202317;                1;0;           114.03;         1999.99;        188.47;EXFOLIANTE PARA LABIOS YOU 01 CHICLE;0;0;  ;             40;ZCOS
12303B;0000809784;4;000000000000101404;                8;01;0;202317;                1;0;           256.56;         4499.99;        424.07;EAU TOILETTE MASC. SEX MEN BLACK 50ML;0;0;  ;             40;ZCOS
12303B;0000809784;4;000000000000101075;                6;01;0;202317;                1;0;            57.01;          999.99;         94.24;DELINEADOR P/LABIOS 18CM 04 BORDO;0;0;  ;             40;ZCOS
12303B;0000809784;4;000000000000500592;                1;04;0;202317;                1;0;                0;            0.01;             0;INSERT  INVI A CONFERENCIA C 1-2023;0;0;  ;0;ZFOL
12303B;0000809784;4;000000000000405540;                9;05;0;202317;                1;0;            49.88;          699.99;         82.45;SETX6 CIERRABOLSAS CLICK AMARILLO GIRASO;0;0;  ;             25;ZHOG
12303B;0000809784;4;000000000000500590;                5;04;0;202317;                1;0;                0;            0.01;             0;INS. INDICACIONES C1 A 4-2024;0;0;  ;0;ZFOL
12303B;0000809784;4;000000000000101071;                7;01;0;202317;                2;0;           114.03;          999.99;        188.47;DELINEADOR P/OJOS Y LABIOS 18CM 02 VIOLE;0;0;  ;             40;ZCOS
12303B;0000809784;4;000000000000042205;7;01;0;202317;                1;0;           102.62;         1799.99;        169.63;DEO COLONIA MASC. SEX FOR MEN 120ML;0;0;  ;             40;ZCOS
12303B;0000809784;4;000000000000500589;                2;04;0;202317;                1;0;                0;            0.01;             0;NUEVOS CLIENTES C1-2024;0;0;  ;0;ZFOL
12303B;0000809784;4;000000000000500591;                7;04;0;202317;                1;0;                0;            0.01;             0;INS. NIVELES C 1 A 3 2024;0;0;  ;0;ZFOL
12303B;0000809784;4;000000000000042126;9;01;0;202317;                1;0;           102.62;         1799.99;        169.63;DEO COLONIA FEM. CAPRICCIO 120 ML;0;0;  ;             40;ZCOS
